is_extra,ser_num,Borough,Sex,Race,age_bucket,Was Frisked,contraband_found,gun_found,weapon_found,arrest_made,summons_issued,Physical Force Used,reason_for_stop_2,was_frisked,reason_for_frisk
0,1579,Manhattan,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,11611,Brooklyn,Male,Black Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,9224,Brooklyn,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,286,Bronx,Male,White Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,21925,Manhattan,Female,Asian/Pacific Islander,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,2148,Queens,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,1573,Manhattan,Male,White Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions of engaging in a violent crime,Not frisked,do_not_include
0,5152,Queens,Male,White Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions of engaging in a violent crime,Not frisked,do_not_include
0,2430,Staten Island,Male,White,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,5440,Staten Island,Male,White,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Casing a victim or location,Not frisked,do_not_include
0,237,Brooklyn,Male,White,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,2668,Manhattan,Male,White Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,9606,Brooklyn,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,1353,Bronx,Male,White Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Casing a victim or location,Not frisked,do_not_include
0,10477,Brooklyn,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,22758,Manhattan,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,4448,Queens,Male,Black Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,1874,Queens,Male,Asian/Pacific Islander,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,594,Bronx,Male,White,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,928,Queens,Male,Asian/Pacific Islander,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,5765,Queens,Female,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,3731,Queens,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Not frisked,do_not_include
0,5202,Manhattan,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force used,Fits a relevant description,Not frisked,do_not_include
0,1625,Manhattan,Male,White Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,2825,Brooklyn,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,7862,Brooklyn,Female,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,5745,Brooklyn,Female,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,7446,Queens,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Not frisked,do_not_include
0,474,Manhattan,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Not frisked,do_not_include
0,4439,Manhattan,Male,Other,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Not frisked,do_not_include
0,3191,Manhattan,Female,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Not frisked,do_not_include
0,6721,Brooklyn,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Not frisked,do_not_include
0,22937,Manhattan,Female,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Not frisked,do_not_include
0,3507,Brooklyn,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Other,Not frisked,do_not_include
0,4229,Bronx,Male,White Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force not used,Other,Not frisked,do_not_include
0,4215,Bronx,Male,Black,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Other,Not frisked,do_not_include
0,9636,Bronx,Male,White Hispanic,16 to 19,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Suspect acting as a lookout,Not frisked,do_not_include
